Çà,¿­,ÇÈ¼¿ °ª
0,0,11
0,1,11
0,2,11
0,3,12
0,4,12
0,5,13
0,6,12
0,7,11
0,8,12
0,9,12
0,10,11
0,11,11
0,12,10
0,13,10
0,14,10
0,15,10
0,16,9
0,17,9
0,18,8
0,19,9
0,20,9
0,21,8
0,22,8
0,23,9
0,24,8
0,25,9
0,26,9
0,27,9
0,28,8
0,29,9
0,30,9
0,31,9
0,32,11
0,33,10
0,34,12
0,35,13
0,36,13
0,37,13
0,38,14
0,39,13
0,40,15
0,41,15
0,42,16
0,43,15
0,44,16
0,45,16
0,46,16
0,47,17
0,48,18
0,49,19
0,50,21
0,51,22
0,52,23
0,53,25
0,54,25
0,55,27
0,56,27
0,57,28
0,58,37
0,59,50
0,60,32
0,61,37
0,62,64
0,63,73
0,64,47
0,65,48
0,66,57
0,67,46
0,68,40
0,69,41
0,70,41
0,71,41
0,72,41
0,73,41
0,74,40
0,75,40
0,76,42
0,77,40
0,78,42
0,79,40
0,80,39
0,81,39
0,82,40
0,83,37
0,84,39
0,85,38
0,86,38
0,87,36
0,88,35
0,89,35
0,90,35
0,91,35
0,92,35
0,93,34
0,94,34
0,95,35
0,96,34
0,97,32
0,98,33
0,99,34
0,100,33
0,101,33
0,102,33
0,103,32
0,104,31
0,105,32
0,106,32
0,107,31
0,108,31
0,109,31
0,110,30
0,111,29
0,112,30
0,113,30
0,114,30
0,115,30
0,116,31
0,117,30
0,118,30
0,119,31
0,120,31
0,121,31
0,122,31
0,123,31
0,124,31
0,125,31
0,126,31
0,127,30
0,128,29
0,129,28
0,130,28
0,131,27
0,132,27
0,133,25
0,134,25
0,135,26
0,136,24
0,137,23
0,138,23
0,139,21
0,140,20
0,141,21
0,142,19
0,143,19
0,144,19
0,145,18
0,146,16
0,147,15
0,148,16
0,149,13
0,150,13
0,151,12
0,152,13
0,153,11
0,154,11
0,155,10
0,156,10
0,157,8
0,158,9
0,159,10
0,160,9
0,161,9
0,162,10
0,163,10
0,164,10
0,165,10
0,166,10
0,167,11
0,168,12
0,169,13
0,170,13
0,171,12
0,172,13
0,173,13
0,174,14
0,175,14
0,176,15
0,177,16
0,178,16
0,179,16
0,180,17
0,181,16
0,182,16
0,183,16
0,184,16
0,185,15
0,186,14
0,187,13
0,188,14
0,189,15
0,190,14
0,191,14
0,192,14
0,193,15
0,194,15
0,195,15
0,196,14
0,197,14
0,198,14
0,199,12
0,200,13
0,201,13
0,202,12
0,203,13
0,204,12
0,205,13
0,206,13
0,207,12
0,208,13
0,209,12
0,210,12
0,211,12
0,212,12
0,213,12
0,214,13
0,215,13
0,216,13
0,217,15
0,218,14
0,219,14
0,220,16
0,221,15
0,222,15
0,223,15
0,224,15
0,225,15
0,226,14
0,227,14
0,228,15
0,229,14
0,230,14
0,231,14
0,232,13
0,233,12
0,234,13
0,235,14
0,236,14
0,237,13
0,238,14
0,239,15
0,240,15
0,241,15
0,242,16
0,243,16
0,244,17
0,245,19
0,246,19
0,247,20
0,248,21
0,249,21
0,250,21
0,251,23
0,252,24
0,253,26
