책이름,저자,출판사,출간일,가격
Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2019년 06월,"16,920"
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2020년 12월,"23,400"
혼자 공부하는 파이썬,윤인성,한빛미디어,2019년 06월,"16,200"
이것이 취업을 위한 코딩 테스트다 with 파이썬 ,나동빈,한빛미디어,2020년 08월,"30,600"
비전공자도 이해할 수 있는 AI 지식,박상길,반니,2022년 03월,"17,820"
밑바닥부터 시작하는 딥러닝 ,사이토 고키,한빛미디어,2017년 01월,"21,600"
모두의 데이터 분석 with 파이썬,송석리,길벗,2019년 04월,"16,200"
핸즈온 머신러닝,오렐리앙 제롱,한빛미디어,2020년 05월,"49,500"
만들면서 배우는 파이썬과 40개의 작품들,장문철,앤써북,2022년 02월,"16,920"
파이썬 알고리즘 인터뷰,박상길,책만,2020년 07월,"34,200"
두근두근 파이썬,천인국,생능출판사,2017년 01월,"22,800"
Do it! 파이썬 생활 프로그래밍,김창현,이지스퍼블리싱,2020년 07월,"18,000"
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,시바타 보요,이지스퍼블리싱,2020년 07월,"19,800"
"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기",포스코인재창조원,한빛미디어,2022년 05월,"21,600"
Do it! 첫 파이썬,엘리스 코딩,이지스퍼블리싱,2020년 04월,"12,600"
파이썬 머신러닝 완벽 가이드,권철민,위키북스,2020년 02월,"34,200"
파이썬 증권 데이터 분석 ,김황후,한빛미디어,2020년 07월,"28,800"
모두가 할 수 있는 앱 인벤터로 11개 인공지능 앱 만들기,박지숙,앤써북,2021년 06월,"13,050"
모두의 파이썬,이승찬,길벗,2018년 10월,"10,800"
혼자 공부하는 첫 프로그래밍 with 파이썬 ,문현일,한빛미디어,2020년 06월,"15,300"
밑바닥부터 시작하는 딥러닝 2,사이토 고키,한빛미디어,2019년 05월,"26,100"
모두의 인공지능 기초 수학,서지영,길벗,2020년 08월,"22,500"
모두의 딥러닝,조태호,길벗,2020년 01월,"21,600"
파이썬을 이용한 비트코인 자동매매,조대표,파이스탁,2021년 03월,"24,300"
파이썬 머신러닝 판다스 데이터 분석,오승환,정보문화사,2019년 06월,"22,500"
"머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로",세바스찬 라시카,길벗,2021년 03월,"39,600"
밑바닥부터 시작하는 딥러닝 3,사이토 고키,한빛미디어,2020년 11월,"34,200"
Do it! 첫 코딩 with 파이썬,정동균,이지스퍼블리싱,2021년 01월,"16,200"
파이썬 코딩의 기술(개정2판),브렛 슬라킨,길벗,2020년 10월,"28,800"
실전 시계열 분석,에일린 닐슨,한빛미디어,2021년 04월,"34,200"
파이썬 코딩 도장,남재윤,길벗,2018년 11월,"22,500"
모두의 인공지능 with 파이썬,이영호,길벗,2020년 12월,"19,800"
Do it! 딥러닝 입문,박해선,이지스퍼블리싱,2019년 09월,"17,820"
쉽게 따라 만드는 파이썬 주식 자동매매 시스템,박준성,길벗,2021년 10월,"25,200"
데이터 과학을 위한 통계,피터 브루스,한빛미디어,2021년 05월,"30,600"
Do it! 장고+부트스트랩 파이썬 웹 개발의 정석,이성용,이지스퍼블리싱,2021년 01월,"28,800"
6개월 치 업무를 하루 만에 끝내는 업무 자동화,반병현,생능출판사,2020년 12월,"25,200"
선형대수와 통계학으로 배우는 머신러닝 with 파이썬,장철원,비제이퍼블릭(BJ퍼블릭),2021년 01월,"33,750"
파이썬 for Beginner,우재남,한빛아카데미,2022년 01월,"25,000"
모두의 라즈베리 파이 with 파이썬,이시이 모루나,길벗,2019년 01월,"23,400"
파이썬 라이브러리를 활용한 데이터 분석,웨스 맥키니,한빛미디어,2019년 05월,"31,500"
파워 유저를 위한 파이썬 EXPRESS,천인국,생능출판사,2020년 11월,"30,000"
따라하며 배우는 파이썬과 데이터 과학,천인국,생능출판사,2020년 12월,"26,000"
시간순삭 파이썬,천인국,생능북스,2020년 08월,"19,800"
Let’s Get IT 파이썬 프로그래밍,안지혜,길벗,2021년 07월,"19,800"
머신러닝 디자인 패턴,발리아파 락슈마난,한빛미디어,2021년 11월,"34,200"
