검색 연월일,검색 시분초,뉴스 제목,언론사,발행일자,발생시간
2022-03-06,11:18:53,윤석열 강동 유세,뉴시스,03-06,11:15
2022-03-06,11:18:53,"서울시, 출생아 1인당 200만원 '첫만남 이용권' 4월부터 지급",뉴스1,03-06,11:15
2022-03-06,11:18:53,서울 출생아에 '200만원 바우처'…산후조리원 사용 가능,뉴시스,03-06,11:15
2022-03-06,11:18:53,"서울시, '자발적 임대료 인하' 착한 임대인 모집…4.5억 지원",뉴시스,03-06,11:15
2022-03-06,11:18:53,"서울시, '도시자연공원구역' 사유지 매입…등산로·쉼터 지킨다",뉴시스,03-06,11:15
2022-03-06,11:18:53,"서울시, 올해 수소차 500대 구매 보조금 지원…총 163억",뉴시스,03-06,11:15
2022-03-06,11:18:53,"남원시, 휴게음식점 등 시설개선 지원한다",뉴시스,03-06,11:15
2022-03-06,11:18:53,윤석열 유세장에 모인 유권자들,뉴시스,03-06,11:15
2022-03-06,11:18:53,"서울시, 자발적 상가 임대료 인하 '서울형 착한 임대인' 모집",뉴스1,03-06,11:15
2022-03-06,11:18:53,어제까진 집이었는데,뉴시스,03-06,11:15
2022-03-06,11:18:53,"서울시, 올해 163억 투입 수소차 500대 보급…충전소 11기 운영",뉴스1,03-06,11:15
2022-03-06,11:18:53,어제까진 집이었는데,뉴시스,03-06,11:15
2022-03-06,11:18:53,불암산 등산로 같이 시민이용 많은 사유지 서울시가 사들인다,뉴스1,03-06,11:15
2022-03-06,11:18:53,"""음주 사고 내고 우리 부부 폭행까지 한 운전자, 500만 원에 합의하자네요""",데일리안,03-06,11:15
2022-03-06,11:18:53,어제까진 집이었는데,뉴시스,03-06,11:15
2022-03-06,11:18:53,"울진 산불, 잿더미로 변한 마을",뉴시스,03-06,11:15
2022-03-06,11:18:53,"윤석열, 서울 강동구 공략",뉴스1,03-06,11:15
2022-03-06,11:18:53,폭격 맞은 듯한 울진 산불 피해 마을,뉴시스,03-06,11:15
2022-03-06,11:18:53,"윤석열 ""사전투표 혼란, 보수층 유권자 분열책…저 믿고 투표해달라""",뉴스1,03-06,11:15
2022-03-06,11:18:53,화마 피하지 못한 울진 한 마을,뉴시스,03-06,11:15
