연월일,시분초,온도,습도,강수량,풍향
2022-03-05,18:31:09,6℃,습도14%,강수량0mm,풍향 서 6.3 m/s
2022-03-05,19:31:12,5℃,습도15%,강수량0mm,풍향 서 4.7 m/s
2022-03-05,20:31:15,5℃,습도15%,강수량0mm,풍향 서 4.2 m/s
2022-03-05,21:31:18,4℃,습도16%,강수량0mm,풍향 서 4.2 m/s
2022-03-05,22:31:21,3℃,습도16%,강수량0mm,풍향 서 5.1 m/s
2022-03-05,23:31:24,3℃,습도19%,강수량0mm,풍향 서 5.3 m/s
2022-03-06,00:31:28,2℃,습도19%,강수량0mm,풍향 서 6.1 m/s
2022-03-06,01:31:31,2℃,습도20%,강수량0mm,풍향 서 5.9 m/s
2022-03-06,02:31:34,2℃,습도21%,강수량0mm,풍향 서 5.9 m/s
2022-03-06,03:31:37,1℃,습도21%,강수량0mm,풍향 서 5.8 m/s
2022-03-06,04:31:40,0℃,습도21%,강수량0mm,풍향 서 4.5 m/s
2022-03-06,05:31:43,0℃,습도21%,강수량0mm,풍향 서 4.3 m/s
2022-03-06,06:31:46,0℃,습도22%,강수량0mm,풍향 서 4.2 m/s
2022-03-06,07:31:49,-1℃,습도22%,강수량0mm,풍향 서 5.3 m/s
2022-03-06,08:31:53,2℃,습도22%,강수량0mm,풍향 서 4.7 m/s
2022-03-06,09:31:56,3℃,습도22%,강수량0mm,풍향 서 4.3 m/s
2022-03-06,10:31:59,5℃,습도22%,강수량0mm,풍향 서 4.2 m/s
