수출입 통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,수입국,수입액(천$),수출액(천$),무역수지(천$),상대국의 한국수입신고금(천$),對한국수입비중,수입 연평균증가율(최근6년),수입 연평균증가율(최근3년),수입 점유율(세계시장),한국의 상대국수출신고금(천$),수입국1,수입국2,수입국3,수입국4,수입국5,수입국6,수입국7,수입국8,수입국9,수입국10,수입국11,수입국12,수입국13,수입국14,수입국15,수입국16,수입국17,수입국18,수입국19,수입국20,수입국21,수입국22,수입국23,수입국24,수입국25,수입국26,수입국27,수입국28,수입국29,수입국30,2022 - 수입금액(천$),2022 - 수입 증가율(%),2022 - 수출액(천$),2022 - 수출 증가율(%),2021 - 수입금액(천$),2021 - 수입 증가율(%),2021 - 수출액(천$),2021 - 수출 증가율(%),2020 - 수입금액(천$),2020 - 수입 증가율(%),2020 - 수출액(천$),2020 - 수출 증가율(%)
전체,-,"19,839,611
","18,936,335
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,멕시코,"1,394,896","1,439,065","44,169","142,950",10.2,-0.5,11.3,7.0,"142,950","중국(457,318)","미국(226,979)","일본(143,361)","한국(142,950)","독일(74,749)","캐나다(40,994)","베트남(37,787)","말레이시아(22,566)","프랑스(16,150)","태국(11,782)","필리핀(9,494)","인도네시아(8,934)","오스트리아(8,804)","스위스(6,617)","홍콩(5,997)","헝가리(5,588)","스페인(3,746)","폴란드(2,601)","인도(1,153)",튀르키예(919),슬로베니아(594),체코(494),영국(485),루마니아(338),세르비아(315),스웨덴(304),덴마크(192),브라질(190),네덜란드(107),슬로바키아(68),"1,394,896",15.8,"1,439,065",18.5,"1,204,845",7.1,"1,214,596",5.8,"1,125,106",-51.4,"1,148,172",-17.9
2,중국,"1,287,153","5,363,996","4,076,843","74,955",5.8,12.8,15.7,6.5,"74,955","일본(403,551)","독일(144,695)","한국(74,955)","스위스(62,148)","싱가포르(42,458)","미국(42,158)","베트남(34,785)","중국(28,988)","헝가리(20,664)","프랑스(13,413)","필리핀(12,123)","멕시코(10,109)","폴란드(8,493)","인도네시아(6,613)","덴마크(6,082)","루마니아(4,207)","영국(4,027)","체코(3,241)","이스라엘(2,919)","네덜란드(2,762)","인도(2,707)","스웨덴(2,335)","오스트리아(1,647)","슬로바키아(1,622)","캐나다(1,500)","태국(1,420)","세르비아(1,248)","말레이시아(1,084)",홍콩(896),스페인(892),"1,287,153",15.6,"5,363,996",46.0,"1,113,694",15.7,"3,675,073",32.3,"962,220",7.9,"2,777,222",2.0
3,미국,"3,105,869","963,740","-2,142,129","172,684",5.6,5.8,20.2,15.7,"172,684","멕시코(926,851)","중국(465,056)","일본(449,946)","한국(172,684)","독일(109,053)","캐나다(65,922)","베트남(56,545)","스위스(47,697)","이탈리아(42,456)","프랑스(42,103)","덴마크(36,877)","영국(27,451)","인도네시아(21,670)","인도(20,811)","세르비아(14,902)","말레이시아(14,774)","태국(13,798)","폴란드(13,353)","스페인(13,034)","슬로바키아(11,205)","헝가리(8,962)","스웨덴(8,256)","필리핀(7,945)","오스트리아(6,433)","체코(5,068)","슬로베니아(3,716)","네덜란드(3,500)","루마니아(3,015)","이스라엘(2,503)","모로코(1,972)","3,105,869",15.6,"963,740",23.0,"2,687,224",25.0,"783,373",-3.0,"2,150,548",-2.1,"807,497",0.5
4,독일,"1,861,152","1,845,392","-15,760","4,438",0.2,5.2,10.3,9.4,"4,438","헝가리(565,691)","중국(396,648)","스위스(158,889)","세르비아(86,992)","폴란드(81,150)","루마니아(68,804)","일본(53,724)","미국(50,493)","네덜란드(48,211)","이탈리아(38,787)","체코(30,869)","덴마크(28,587)","슬로바키아(28,580)","프랑스(27,184)","오스트리아(19,103)","태국(15,875)","인도(13,356)","슬로베니아(12,047)","영국(11,187)","멕시코(7,906)","말레이시아(6,928)","스웨덴(6,525)","스페인(5,386)","필리핀(4,457)","한국(4,438)","포르투갈(4,081)","베트남(3,818)","캐나다(3,116)","불가리아(2,069)","튀르키예(1,960)","1,861,152",0.4,"1,845,392",1.5,"1,852,942",21.0,"1,818,812",13.9,"1,530,912",11.0,"1,596,892",-3.2
5,슬로바키아,"435,583","144,793","-290,789","8,197",1.9,30.2,20.4,2.2,"8,197","헝가리(179,007)","독일(147,169)","중국(24,964)","폴란드(24,781)","프랑스(8,468)","한국(8,197)","체코(6,580)","일본(4,961)","루마니아(1,932)",필리핀(637),네덜란드(610),영국(547),오스트리아(483),기타국(314),덴마크(280),미국(272),포르투갈(141),스위스(121),슬로바키아(107),인도(59),스페인(46),스웨덴(45),벨기에(18),모로코(12),멕시코(7),말레이시아(5),세르비아(4),아일랜드(3),슬로베니아(2),불가리아(2),"435,583",-9.1,"144,793",-3.6,"479,388",59.6,"150,157",10.2,"300,306",78.6,"136,272",22.8
6,오스트리아,"298,297","112,511","-185,787","1,122",0.4,7.7,-0.3,1.5,"1,122","독일(163,775)","중국(88,312)","멕시코(7,878)","베트남(4,231)","체코(4,103)","스위스(3,072)","미국(2,850)","덴마크(2,811)","슬로베니아(2,659)","폴란드(2,239)","헝가리(1,690)","스웨덴(1,179)","네덜란드(1,150)","한국(1,122)",일본(694),벨기에(514),인도(489),영국(477),프랑스(427),핀란드(408),스페인(388),루마니아(260),포르투갈(197),슬로바키아(155),크로아티아(148),이스라엘(93),보스니아 헤르체고비나(93),튀르키예(79),불가리아(40),노르웨이(16),"298,297",-23.0,"112,511",22.6,"387,490",29.2,"91,750",40.8,"299,907",16.5,"65,181",-21.3
7,베트남,"329,095","232,888","-96,207",-,-,55.2,32.5,1.7,-,"중국(170,733)","독일(68,006)","필리핀(11,291)","일본(2,561)","홍콩(2,232)","노르웨이(1,067)",미국(729),덴마크(552),싱가포르(523),헝가리(343),스페인(321),프랑스(280),영국(146),체코(66),네덜란드(52),스위스(44),스웨덴(25),오스트리아(16),인도(13),벨기에(5),루마니아(4),튀르키예(1),캐나다(1),-,-,-,-,-,-,-,"329,095",1.6,"232,888",33.4,"323,860",72.9,"174,538",78.5,"187,359",106.7,"97,760",6.3
8,일본,"621,076","1,308,852","687,776","6,120",1.0,11.6,25.7,3.1,"6,120","중국(278,411)","태국(61,220)","미국(24,870)","베트남(24,588)","필리핀(17,788)","캐나다(15,205)","독일(13,336)","인도네시아(11,075)","덴마크(6,185)","한국(6,120)","스위스(5,040)","헝가리(3,388)","영국(2,221)","말레이시아(2,035)","프랑스(1,834)","스페인(1,467)","인도(1,437)","네덜란드(1,021)",이탈리아(991),불가리아(640),폴란드(526),멕시코(471),슬로바키아(471),스웨덴(390),체코(221),이스라엘(220),싱가포르(216),슬로베니아(154),루마니아(66),벨기에(57),"621,076",30.3,"1,308,852",26.1,"476,615",21.2,"1,037,835",28.3,"393,349",-9.1,"809,073",0.7
9,폴란드,"517,711","266,985","-250,727","8,382",1.6,10.2,35.5,2.6,"8,382","독일(111,528)","중국(107,767)","이탈리아(71,116)","슬로베니아(29,373)","루마니아(19,514)","슬로바키아(15,399)","헝가리(10,291)","미국(10,028)","한국(8,382)","프랑스(7,575)","스웨덴(4,770)","스위스(3,013)","덴마크(2,793)","일본(2,382)","멕시코(2,313)","오스트리아(1,675)","체코(1,544)","네덜란드(1,341)","필리핀(1,194)","스페인(1,106)","불가리아(1,049)",베트남(973),영국(524),벨기에(296),태국(175),러시아연방(146),말레이시아(128),홍콩(102),튀르키예(98),아일랜드(79),"517,711",27.5,"266,985",-0.7,"405,962",44.0,"268,740",13.9,"281,886",-12.1,"236,023",-15.2
