title,video,thumbnail
°¹Áö··ÀÌ ³¢¿ì´Â ¹ý,https://www.youtube.com/watch?v=0Z7rLenDvzE,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F2-2.PNG?alt=media&token=e9ba65b7-0c29-4464-9fba-44c55ba99078
Àå¾î ¹Ì³¢ ²ç´Â ¹æ¹ý,https://www.youtube.com/watch?v=6IuKS4Hl7I0,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F2-10.PNG?alt=media&token=fc3d4fe9-9d80-4f4d-9135-5bbd5e21de6e
¿Á¼ö¼ö ¹Ì³¢ Àß ²ç´Â ¹æ¹ý,https://www.youtube.com/watch?v=ITRSXfwtWu4,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F2-7.PNG?alt=media&token=557b8394-d6cb-41d6-901d-08a07bdce479
¿ÀÂ¡¾î ¹Ì³¢ ³¢¿ì±â,https://www.youtube.com/watch?v=zSQztfviYPI,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F2-6.PNG?alt=media&token=6063669e-0773-4ae0-8694-a63e469d5def
·ç¾î³¬½Ã ÇÊ¼ö Áö±×Çìµå ¿ú ³¢¿ì±â,https://www.youtube.com/watch?v=f-CeIXmtaH8,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F2-5.PNG?alt=media&token=b33eb943-2d5d-4fea-9c95-35d7397ab4b4
Å©¸± »õ¿ì ³¢¿ì´Â 3°¡Áö ¹æ¹ý,https://www.youtube.com/watch?v=Y8CLS4ajyfg,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F2-1.PNG?alt=media&token=100f364b-33a2-4ad2-933d-2bf0e27c31d0
»ý¼±·ù ¹Ì³¢ ´Ù´Â ¹ý,https://www.youtube.com/watch?v=P7BRIeTJ1D4,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F2-4.PNG?alt=media&token=076abf07-7489-4762-9a75-61afcebb9385
"¹Ù´Ù ¿øÅõ³¬½Ã °³ºÒ ¹Ì³¢ ³¢¿ì´Â ¹æ¹ý, Åë¸¶¸® ²ç±â",https://www.youtube.com/watch?v=a4Ak--auZS8,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F2-9.PNG?alt=media&token=d89eba05-08d5-4b02-8fd4-9482d69d7414
»ý»õ¿ì ³¢¿ì´Â ¹ý,https://www.youtube.com/watch?v=V5hoy7aGKh4,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F2-3.PNG?alt=media&token=ac393948-f3a1-4415-8b94-6d84b54cb646
ÀåÅ¸¿¡µµ ¶³¾îÁöÁö ¾Ê´Â ¹Ì³¢ ²ç´Â ¹ý,https://www.youtube.com/watch?v=-BoPGL340xE,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F2-8.PNG?alt=media&token=6ee4844a-602e-430f-bd8b-9c1b459d6429
