title,video,thumbnail
가장 쉽고 강력한 낚시매듭/8자매듭,https://www.youtube.com/watch?v=sIkXJHKXL3M,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F1-2.PNG?alt=media&token=690398de-114f-477c-80d6-71dae252edda
낚시갈때 꼭 알고가야하는매듭,https://www.youtube.com/watch?v=ZeISlKp_ej8,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F1-3.PNG?alt=media&token=503f1936-9a76-4f33-91b8-fa275a6adf32
"낚시 면사매듭 묶는법, 밀림방지 면사 매듭법",https://www.youtube.com/watch?v=CvBRNsyqiBA,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F1-6.PNG?alt=media&token=46c1f03c-6a8d-4523-86eb-78635702c8b4
배스낚시 매듭 중 가장 많이 쓰이는 매듭법!,https://www.youtube.com/watch?v=abMhpq_sbHU,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F1-10.PNG?alt=media&token=5ddce0d5-4a31-42da-8961-72ad43c18096
대물낚시 매듭법,https://www.youtube.com/watch?v=B50wQkgTJQk,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F1-9.PNG?alt=media&token=274d1004-8975-4a11-8de6-a1f5558f3354
바늘매듭법,https://www.youtube.com/watch?v=vrXKPYMzyuw,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F1-7.PNG?alt=media&token=6c3ebb9b-d0b1-4fd5-9590-0fcafaa52c95
"문어 도래묶는법 두가지 팔로마 매듭, 클린치 매듭",https://www.youtube.com/watch?v=GYMRqCAm63Y,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F1-4.PNG?alt=media&token=9eb0d4a6-1dd0-408a-9977-15c866607def
강력한 직결매듭 방법 원줄&원줄 원줄&목줄 목줄&목줄,https://www.youtube.com/watch?v=dk5qjC0TDVw,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F1-8.PNG?alt=media&token=a6c7b19b-1bfa-4495-a4a6-8282a0acadef
낚시 초보자가 알면 좋은 낚시바늘 매듭법 3가지,https://www.youtube.com/watch?v=PibrDt5BFPY,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F1-5.PNG?alt=media&token=c0dbb257-d917-4b3f-972b-f0c8ea4a083a
도래 묶음법 (대물용),https://www.youtube.com/watch?v=5pJSBSVVlKU,https://firebasestorage.googleapis.com/v0/b/fish-43e0b.appspot.com/o/newbieGuide%2F1_1.PNG?alt=media&token=b7b35a1a-5d88-4323-8b58-134408716d33
